variables,units,values,description
floatingse.member2.env.z,m,[-20.    -18.25  -16.5   -14.001  -6.     14.545  15.   ],
floatingse.member2.env.windLoads.U,m/s,"[ 0.          0.          0.          0.          0.         14.8851591
 14.94028166]",
floatingse.member2.env.d,m,[12.5 12.5 12.5 12.5 12.5 12.5 12.5],
floatingse.member2.env.waveLoads.U,m/s,"[0.60994613 0.66001441 0.71419262 0.79935815 1.14653416 0.
 0.        ]",
floatingse.member2.env.waveLoads.A,m/s**2,"[0.40554546 0.43883522 0.47485763 0.53148311 0.76231604 0.
 0.        ]",
floatingse.member2.env.waveLoads.p,N/m**2,"[210250.67488563 193417.48171389 176646.42068107 152815.24831108
  77641.75218107      0.              0.        ]",
floatingse.member2.env.distLoads.windLoads_Px,N/m,"[   0.            0.            0.            0.            0.
 1201.41063092 1210.83734541]",
floatingse.member2.env.distLoads.windLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member2.env.distLoads.windLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member2.env.distLoads.windLoads_qdyn,N/m**2,"[  0.           0.           0.           0.           0.
 135.71037634 136.71735977]",
floatingse.member2.env.distLoads.windLoads_z,m,[-20.    -18.25  -16.5   -14.001  -6.     14.545  15.   ],
floatingse.member2.env.distLoads.windLoads_beta,deg,[0.],
floatingse.member2.env.distLoads.waveLoads_Px,N/m,"[1686.38034725 1976.52473793 2311.97682358 2886.01801613 5905.05213648
    0.            0.        ]",
floatingse.member2.env.distLoads.waveLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member2.env.distLoads.waveLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member2.env.distLoads.waveLoads_qdyn,N/m**2,"[210441.34245576 193640.73646331 176907.8321172  153142.72220268
  78315.45422451      0.              0.        ]",
floatingse.member2.env.distLoads.waveLoads_z,m,[-20.    -18.25  -16.5   -14.001  -6.     14.545  15.   ],
floatingse.member2.env.distLoads.waveLoads_beta,deg,[0.],
floatingse.member2.yaw,deg,[0.],
floatingse.member2.g2e.Px_global,N/m,"[1686.38034725 1976.52473793 2311.97682358 2886.01801613 5905.05213648
 1201.41063092 1210.83734541]",
floatingse.member2.g2e.Py_global,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member2.g2e.Pz_global,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member2.g2e.qdyn_global,Pa,"[2.10441342e+05 1.93640736e+05 1.76907832e+05 1.53142722e+05
 7.83154542e+04 1.35710376e+02 1.36717360e+02]",
floatingse.member3.s,,[0.     0.05   0.1    0.1714 0.4    0.987  1.    ],
floatingse.member3.joint1,m,[ 25.87499781 -44.81681591 -20.        ],
floatingse.member3.joint2,m,[ 25.87499781 -44.81681591  15.        ],
floatingse.member3.layer_thickness,m,[[0.075 0.075 0.075 0.075 0.075 0.075 0.075]],
floatingse.member3.outer_diameter_in,m,[12.5 12.5 12.5 12.5 12.5 12.5 12.5],
floatingse.member3.E_user,Pa,[0.],
floatingse.member3.outfitting_factor_in,,[1.],
floatingse.member3.layer_materials,Unavailable,['steel'],
floatingse.member3.ballast_materials,Unavailable,"['slurry', 'seawater']",
floatingse.member3.gc.d,m,[12.5 12.5 12.5 12.5 12.5 12.5 12.5],
floatingse.member3.gc.t,m,[0.075 0.075 0.075 0.075 0.075 0.075],
floatingse.member3.height,m,[35.],
floatingse.member3.outer_diameter,m,[12.5 12.5 12.5 12.5 12.5 12.5 12.5],
floatingse.member3.wall_thickness,m,[0.075 0.075 0.075 0.075 0.075 0.075],
floatingse.member3.E,Pa,[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11],
floatingse.member3.G,Pa,[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10],
floatingse.member3.sigma_y,Pa,[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08],
floatingse.member3.rho,kg/m**3,"[7748.31238939 7748.31238939 7748.31238939 7748.31238939 7748.31238939
 7748.31238939]",
floatingse.member3.unit_cost,USD/kg,[0.7 0.7 0.7 0.7 0.7 0.7],
floatingse.member3.outfitting_factor,,[1. 1. 1. 1. 1. 1.],
floatingse.member3.s_full,m,[0.     0.05   0.1    0.1714 0.4    0.987  1.    ],
floatingse.member3.z_full,m,[ 0.     1.75   3.5    5.999 14.    34.545 35.   ],
floatingse.member3.d_full,m,[12.5 12.5 12.5 12.5 12.5 12.5 12.5],
floatingse.member3.t_full,m,[0.075 0.075 0.075 0.075 0.075 0.075],
floatingse.member3.E_full,Pa,[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11],
floatingse.member3.G_full,Pa,[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10],
floatingse.member3.rho_full,kg/m**3,"[7748.31238939 7748.31238939 7748.31238939 7748.31238939 7748.31238939
 7748.31238939]",
floatingse.member3.sigma_y_full,Pa,[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08],
floatingse.member3.unit_cost_full,USD/kg,[0.7 0.7 0.7 0.7 0.7 0.7],
floatingse.member3.outfitting_full,,[1. 1. 1. 1. 1. 1.],
floatingse.member3.grid_axial_joints,,[0.987  0.1    0.1714],
floatingse.member3.bulkhead_grid,,[0.   0.05 0.2  1.  ],
floatingse.member3.bulkhead_thickness,m,[0.075 0.075 0.075 0.075],
floatingse.member3.ring_stiffener_web_height,m,[0.],
floatingse.member3.ring_stiffener_web_thickness,m,[0.],
floatingse.member3.ring_stiffener_flange_width,m,[0.],
floatingse.member3.ring_stiffener_flange_thickness,m,[0.],
floatingse.member3.ring_stiffener_spacing,,[0.],
floatingse.member3.axial_stiffener_web_height,m,[0.],
floatingse.member3.axial_stiffener_web_thickness,m,[0.],
floatingse.member3.axial_stiffener_flange_width,m,[0.],
floatingse.member3.axial_stiffener_flange_thickness,m,[0.],
floatingse.member3.axial_stiffener_spacing,rad,[0.],
floatingse.member3.ballast_grid,,"[[0.   0.05]
 [0.05 0.4 ]]",
floatingse.member3.ballast_density,kg/m**3,[5000. 1025.],
floatingse.member3.ballast_volume,m**3,[519.   0.],
floatingse.member3.ballast_unit_cost,USD/kg,[1. 0.],
floatingse.member3.s_ghost1,,[0.],
floatingse.member3.s_ghost2,,[1.],
floatingse.member3.s_all,,"[ 0.00000000e+00  2.14285714e-03  4.89285714e-02  5.00000000e-02
  5.10714286e-02  1.00000000e-01  1.71400000e-01  1.98928571e-01
  2.01071429e-01  4.00000000e-01  9.87000000e-01  9.97857143e-01
  1.00000000e+00 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03
 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03 -9.99900000e+03]",
floatingse.member3.nodes_xyz,m,"[[ 2.58749978e+01 -4.48168159e+01 -2.00000000e+01]
 [ 2.58749978e+01 -4.48168159e+01 -1.99250000e+01]
 [ 2.58749978e+01 -4.48168159e+01 -1.82875000e+01]
 [ 2.58749978e+01 -4.48168159e+01 -1.82500000e+01]
 [ 2.58749978e+01 -4.48168159e+01 -1.82125000e+01]
 [ 2.58749978e+01 -4.48168159e+01 -1.65000000e+01]
 [ 2.58749978e+01 -4.48168159e+01 -1.40010000e+01]
 [ 2.58749978e+01 -4.48168159e+01 -1.30375000e+01]
 [ 2.58749978e+01 -4.48168159e+01 -1.29625000e+01]
 [ 2.58749978e+01 -4.48168159e+01 -6.00000000e+00]
 [ 2.58749978e+01 -4.48168159e+01  1.45450000e+01]
 [ 2.58749978e+01 -4.48168159e+01  1.49250000e+01]
 [ 2.58749978e+01 -4.48168159e+01  1.50000000e+01]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]
 [-9.99900000e+03 -9.99900000e+03 -9.99900000e+03]]",
floatingse.member3.env.z,m,[-20.    -18.25  -16.5   -14.001  -6.     14.545  15.   ],
floatingse.member3.env.windLoads.U,m/s,"[ 0.          0.          0.          0.          0.         14.8851591
 14.94028166]",
floatingse.member3.env.d,m,[12.5 12.5 12.5 12.5 12.5 12.5 12.5],
floatingse.member3.env.waveLoads.U,m/s,"[0.60994613 0.66001441 0.71419262 0.79935815 1.14653416 0.
 0.        ]",
floatingse.member3.env.waveLoads.A,m/s**2,"[0.40554546 0.43883522 0.47485763 0.53148311 0.76231604 0.
 0.        ]",
floatingse.member3.env.waveLoads.p,N/m**2,"[210250.67488563 193417.48171389 176646.42068107 152815.24831108
  77641.75218107      0.              0.        ]",
floatingse.member3.env.distLoads.windLoads_Px,N/m,"[   0.            0.            0.            0.            0.
 1201.41063092 1210.83734541]",
floatingse.member3.env.distLoads.windLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member3.env.distLoads.windLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member3.env.distLoads.windLoads_qdyn,N/m**2,"[  0.           0.           0.           0.           0.
 135.71037634 136.71735977]",
floatingse.member3.env.distLoads.windLoads_z,m,[-20.    -18.25  -16.5   -14.001  -6.     14.545  15.   ],
floatingse.member3.env.distLoads.windLoads_beta,deg,[0.],
floatingse.member3.env.distLoads.waveLoads_Px,N/m,"[1686.38034725 1976.52473793 2311.97682358 2886.01801613 5905.05213648
    0.            0.        ]",
floatingse.member3.env.distLoads.waveLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member3.env.distLoads.waveLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member3.env.distLoads.waveLoads_qdyn,N/m**2,"[210441.34245576 193640.73646331 176907.8321172  153142.72220268
  78315.45422451      0.              0.        ]",
floatingse.member3.env.distLoads.waveLoads_z,m,[-20.    -18.25  -16.5   -14.001  -6.     14.545  15.   ],
floatingse.member3.env.distLoads.waveLoads_beta,deg,[0.],
floatingse.member3.yaw,deg,[0.],
floatingse.member3.g2e.Px_global,N/m,"[1686.38034725 1976.52473793 2311.97682358 2886.01801613 5905.05213648
 1201.41063092 1210.83734541]",
floatingse.member3.g2e.Py_global,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member3.g2e.Pz_global,N/m,[0. 0. 0. 0. 0. 0. 0.],
floatingse.member3.g2e.qdyn_global,Pa,"[2.10441342e+05 1.93640736e+05 1.76907832e+05 1.53142722e+05
 7.83154542e+04 1.35710376e+02 1.36717360e+02]",
floatingse.member4.s,,[0. 1.],
floatingse.member4.joint1,m,[ 0.     0.    14.545],
floatingse.member4.joint2,m,[-5.17500000e+01  1.85771789e-07  1.45450000e+01],
floatingse.member4.layer_thickness,m,[[0.02 0.02]],
floatingse.member4.outer_diameter_in,m,[0.91 0.91],
floatingse.member4.E_user,Pa,[0.],
floatingse.member4.outfitting_factor_in,,[1.],
floatingse.member4.layer_materials,Unavailable,['steel'],
floatingse.member4.ballast_materials,Unavailable,[],
floatingse.member4.gc.d,m,[0.91 0.91],
floatingse.member4.gc.t,m,[0.02],
floatingse.member4.height,m,[51.75],
floatingse.member4.outer_diameter,m,[0.91 0.91],
floatingse.member4.wall_thickness,m,[0.02],
floatingse.member4.E,Pa,[2.e+11],
floatingse.member4.G,Pa,[7.93e+10],
floatingse.member4.sigma_y,Pa,[3.45e+08],
floatingse.member4.rho,kg/m**3,[7748.31238939],
floatingse.member4.unit_cost,USD/kg,[0.7],
floatingse.member4.outfitting_factor,,[1.],
floatingse.member4.s_full,m,[0.  0.5 1. ],
floatingse.member4.z_full,m,[ 0.    25.875 51.75 ],
floatingse.member4.d_full,m,[0.91 0.91 0.91],
floatingse.member4.t_full,m,[0.02 0.02],
floatingse.member4.E_full,Pa,[2.e+11 2.e+11],
floatingse.member4.G_full,Pa,[7.93e+10 7.93e+10],
floatingse.member4.rho_full,kg/m**3,[7748.31238939 7748.31238939],
floatingse.member4.sigma_y_full,Pa,[3.45e+08 3.45e+08],
floatingse.member4.unit_cost_full,USD/kg,[0.7 0.7],
floatingse.member4.outfitting_full,,[1. 1.],
