variables,units,values,description
blade.outer_shape_bem.ref_axis_yaml,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.51925885e-02  0.00000000e+00  1.98305085e+00]
 [ 3.40268644e-02  0.00000000e+00  3.96610169e+00]
 [ 5.64540875e-02  0.00000000e+00  5.94915254e+00]
 [ 8.17032171e-02  0.00000000e+00  7.93220339e+00]
 [ 1.08720573e-01  0.00000000e+00  9.91525424e+00]
 [ 1.36429863e-01  0.00000000e+00  1.18983051e+01]
 [ 1.63418864e-01  0.00000000e+00  1.38813559e+01]
 [ 1.88351483e-01  0.00000000e+00  1.58644068e+01]
 [ 2.11302833e-01  0.00000000e+00  1.78474576e+01]
 [ 2.29857969e-01  0.00000000e+00  1.98305085e+01]
 [ 2.42619023e-01  0.00000000e+00  2.18135593e+01]
 [ 2.48649047e-01  0.00000000e+00  2.37966102e+01]
 [ 2.50143471e-01  0.00000000e+00  2.57796610e+01]
 [ 2.49767700e-01  0.00000000e+00  2.77627119e+01]
 [ 2.48574162e-01  0.00000000e+00  2.97457627e+01]
 [ 2.46799271e-01  0.00000000e+00  3.17288136e+01]
 [ 2.44443420e-01  0.00000000e+00  3.37118644e+01]
 [ 2.41484089e-01  0.00000000e+00  3.56949153e+01]
 [ 2.37956044e-01  0.00000000e+00  3.76779661e+01]
 [ 2.34212143e-01  0.00000000e+00  3.96610169e+01]
 [ 2.29629918e-01  0.00000000e+00  4.16440678e+01]
 [ 2.23217923e-01  0.00000000e+00  4.36271186e+01]
 [ 2.09304497e-01  0.00000000e+00  4.56101695e+01]
 [ 1.88211909e-01  0.00000000e+00  4.75932203e+01]
 [ 1.58702486e-01  0.00000000e+00  4.95762712e+01]
 [ 1.20379850e-01  0.00000000e+00  5.15593220e+01]
 [ 7.56499234e-02  0.00000000e+00  5.35423729e+01]
 [ 2.56959812e-02  0.00000000e+00  5.55254237e+01]
 [-2.79117538e-02  0.00000000e+00  5.75084746e+01]
 [-8.31605884e-02  0.00000000e+00  5.94915254e+01]
 [-1.40627601e-01  0.00000000e+00  6.14745763e+01]
 [-2.03859856e-01  0.00000000e+00  6.34576271e+01]
 [-2.77153900e-01  0.00000000e+00  6.54406780e+01]
 [-3.60438706e-01  0.00000000e+00  6.74237288e+01]
 [-4.54727390e-01  0.00000000e+00  6.94067797e+01]
 [-5.55474978e-01  0.00000000e+00  7.13898305e+01]
 [-6.61798428e-01  0.00000000e+00  7.33728814e+01]
 [-7.72334190e-01  0.00000000e+00  7.53559322e+01]
 [-8.85516674e-01  0.00000000e+00  7.73389831e+01]
 [-1.00052719e+00  0.00000000e+00  7.93220339e+01]
 [-1.11617343e+00  0.00000000e+00  8.13050847e+01]
 [-1.23774956e+00  0.00000000e+00  8.32881356e+01]
 [-1.36533782e+00  0.00000000e+00  8.52711864e+01]
 [-1.49829999e+00  0.00000000e+00  8.72542373e+01]
 [-1.63627722e+00  0.00000000e+00  8.92372881e+01]
 [-1.77928442e+00  0.00000000e+00  9.12203390e+01]
 [-1.92541893e+00  0.00000000e+00  9.32033898e+01]
 [-2.07543906e+00  0.00000000e+00  9.51864407e+01]
 [-2.22878762e+00  0.00000000e+00  9.71694915e+01]
 [-2.38519949e+00  0.00000000e+00  9.91525424e+01]
 [-2.54577386e+00  0.00000000e+00  1.01135593e+02]
 [-2.71135531e+00  0.00000000e+00  1.03118644e+02]
 [-2.88183115e+00  0.00000000e+00  1.05101695e+02]
 [-3.05712696e+00  0.00000000e+00  1.07084746e+02]
 [-3.23686188e+00  0.00000000e+00  1.09067797e+02]
 [-3.42150742e+00  0.00000000e+00  1.11050847e+02]
 [-3.61128212e+00  0.00000000e+00  1.13033898e+02]
 [-3.80410546e+00  0.00000000e+00  1.15016949e+02]
 [-4.00000000e+00  0.00000000e+00  1.17000000e+02]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.outer_shape_bem.span_end,,[],1D array of the positions along blade span where something (a DAC device?) starts and we want a grid point. Only values between 0 and 1 are meaningful.
blade.outer_shape_bem.span_ext,,[],1D array of the extensions along blade span where something (a DAC device?) lives and we want a grid point. Only values between 0 and 1 are meaningful.
blade.pa.s,,"[0.         0.01694915 0.03389831 0.05084746 0.06779661 0.08474576
 0.10169492 0.11864407 0.13559322 0.15254237 0.16949153 0.18644068
 0.20338983 0.22033898 0.23728814 0.25423729 0.27118644 0.28813559
 0.30508475 0.3220339  0.33898305 0.3559322  0.37288136 0.38983051
 0.40677966 0.42372881 0.44067797 0.45762712 0.47457627 0.49152542
 0.50847458 0.52542373 0.54237288 0.55932203 0.57627119 0.59322034
 0.61016949 0.62711864 0.6440678  0.66101695 0.6779661  0.69491525
 0.71186441 0.72881356 0.74576271 0.76271186 0.77966102 0.79661017
 0.81355932 0.83050847 0.84745763 0.86440678 0.88135593 0.89830508
 0.91525424 0.93220339 0.94915254 0.96610169 0.98305085 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.pa.s_opt_twist,,"[0.         0.01694915 0.03389831 0.05084746 0.06779661 0.08474576
 0.10169492 0.11864407 0.13559322 0.15254237 0.16949153 0.18644068
 0.20338983 0.22033898 0.23728814 0.25423729 0.27118644 0.28813559
 0.30508475 0.3220339  0.33898305 0.3559322  0.37288136 0.38983051
 0.40677966 0.42372881 0.44067797 0.45762712 0.47457627 0.49152542
 0.50847458 0.52542373 0.54237288 0.55932203 0.57627119 0.59322034
 0.61016949 0.62711864 0.6440678  0.66101695 0.6779661  0.69491525
 0.71186441 0.72881356 0.74576271 0.76271186 0.77966102 0.79661017
 0.81355932 0.83050847 0.84745763 0.86440678 0.88135593 0.89830508
 0.91525424 0.93220339 0.94915254 0.96610169 0.98305085 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade twist angle
blade.pa.twist_opt,rad,"[ 0.2721763   0.27212449  0.27014705  0.26512124  0.25710027  0.24659752
  0.23411269  0.21997819  0.20530193  0.19033849  0.17561734  0.16188948
  0.14974122  0.1391977   0.12965665  0.12040365  0.11123051  0.10232036
  0.09382688  0.08581249  0.0783494   0.07142723  0.06506436  0.059445
  0.05412577  0.0490846   0.0443008   0.03981044  0.03556098  0.03150287
  0.02759766  0.02384606  0.02028671  0.0169571   0.01382644  0.01087033
  0.00797935  0.00511544  0.00223904 -0.00072159 -0.00387513 -0.00731559
 -0.01130275 -0.01583257 -0.02049337 -0.02507939 -0.02925866 -0.03304289
 -0.0359689  -0.03743322 -0.03790485 -0.03787088 -0.03746645 -0.03668027
 -0.03551016 -0.03393829 -0.03178777 -0.02890113 -0.02553565 -0.02168376]",1D array of the twist angle being optimized at the n_opt locations.
blade.pa.s_opt_chord,,"[0.         0.01694915 0.03389831 0.05084746 0.06779661 0.08474576
 0.10169492 0.11864407 0.13559322 0.15254237 0.16949153 0.18644068
 0.20338983 0.22033898 0.23728814 0.25423729 0.27118644 0.28813559
 0.30508475 0.3220339  0.33898305 0.3559322  0.37288136 0.38983051
 0.40677966 0.42372881 0.44067797 0.45762712 0.47457627 0.49152542
 0.50847458 0.52542373 0.54237288 0.55932203 0.57627119 0.59322034
 0.61016949 0.62711864 0.6440678  0.66101695 0.6779661  0.69491525
 0.71186441 0.72881356 0.74576271 0.76271186 0.77966102 0.79661017
 0.81355932 0.83050847 0.84745763 0.86440678 0.88135593 0.89830508
 0.91525424 0.93220339 0.94915254 0.96610169 0.98305085 1.        ]",1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade chord
blade.pa.chord_opt,m,"[5.2        5.20701699 5.2273448  5.2645819  5.31686971 5.38021425
 5.45060219 5.52363631 5.5930242  5.65826801 5.7119531  5.7485929
 5.76428706 5.75877358 5.72417705 5.65836505 5.56728908 5.45475975
 5.33039234 5.20106014 5.07625831 4.95889358 4.8503724  4.75647194
 4.66227001 4.56795341 4.47381738 4.38063204 4.28891954 4.1987208
 4.11053752 4.02457193 3.94094631 3.85973524 3.78054746 3.7030804
 3.62646162 3.5503916  3.4744709  3.39823946 3.32151093 3.2439285
 3.1670841  3.09095054 3.01493287 2.93870256 2.86164021 2.78379189
 2.70411421 2.62229481 2.53814907 2.45191348 2.3638715  2.27406241
 2.1825558  2.08941229 1.99454001 1.89854951 1.79579662 0.5       ]",1D array of the chord being optimized at the n_opt locations.
blade.interp_airfoils.af_position,,"[0.         0.02       0.15       0.24517032 0.32884395 0.43917935
 0.53767141 0.63820766 0.77174385 1.        ]",1D array of the non dimensional positions of the airfoils af_used defined along blade span.
blade.interp_airfoils.s,,"[0.         0.01694915 0.03389831 0.05084746 0.06779661 0.08474576
 0.10169492 0.11864407 0.13559322 0.15254237 0.16949153 0.18644068
 0.20338983 0.22033898 0.23728814 0.25423729 0.27118644 0.28813559
 0.30508475 0.3220339  0.33898305 0.3559322  0.37288136 0.38983051
 0.40677966 0.42372881 0.44067797 0.45762712 0.47457627 0.49152542
 0.50847458 0.52542373 0.54237288 0.55932203 0.57627119 0.59322034
 0.61016949 0.62711864 0.6440678  0.66101695 0.6779661  0.69491525
 0.71186441 0.72881356 0.74576271 0.76271186 0.77966102 0.79661017
 0.81355932 0.83050847 0.84745763 0.86440678 0.88135593 0.89830508
 0.91525424 0.93220339 0.94915254 0.96610169 0.98305085 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.interp_airfoils.pitch_axis,,"[0.50454545 0.49252723 0.47860728 0.46353776 0.44777236 0.4317239
 0.41592772 0.40123601 0.38716822 0.3736052  0.36082984 0.34980839
 0.3404588  0.33282951 0.32664418 0.32168648 0.31761873 0.31425535
 0.3116485  0.30941541 0.30745968 0.30562361 0.30374932 0.30161401
 0.29938685 0.29712767 0.29491029 0.29299297 0.29136632 0.28997455
 0.28889935 0.28817561 0.28782969 0.28786113 0.2879751  0.28857588
 0.28945782 0.29065515 0.29213852 0.29384384 0.29576898 0.29791556
 0.30023339 0.30270298 0.30526808 0.30789372 0.31051878 0.31311677
 0.31592364 0.31902992 0.32251102 0.32632764 0.33040994 0.33472427
 0.33924257 0.34403863 0.34924028 0.35514741 0.36146069 0.36818182]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.interp_airfoils.chord,m,"[5.2        5.20701699 5.2273448  5.2645819  5.31686971 5.38021425
 5.45060219 5.52363631 5.5930242  5.65826801 5.7119531  5.7485929
 5.76428706 5.75877358 5.72417705 5.65836505 5.56728908 5.45475975
 5.33039234 5.20106014 5.07625831 4.95889358 4.8503724  4.75647194
 4.66227001 4.56795341 4.47381738 4.38063204 4.28891954 4.1987208
 4.11053752 4.02457193 3.94094631 3.85973524 3.78054746 3.7030804
 3.62646162 3.5503916  3.4744709  3.39823946 3.32151093 3.2439285
 3.1670841  3.09095054 3.01493287 2.93870256 2.86164021 2.78379189
 2.70411421 2.62229481 2.53814907 2.45191348 2.3638715  2.27406241
 2.1825558  2.08941229 1.99454001 1.89854951 1.79579662 0.5       ]",1D array of the chord values defined along blade span.
blade.interp_airfoils.ac,,[0.5   0.316 0.25  0.25  0.25  0.25  0.25  0.25 ],1D array of the aerodynamic centers of each airfoil.
blade.interp_airfoils.r_thick,,[1.    0.5   0.211 0.241 0.27  0.301 0.33  0.36 ],1D array of the relative thicknesses of each airfoil.
